authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Sanchez-Aguilera A, Wheeler DW, Jurado-Parras T, Valero M, Nokia MS, Cid E, Fernandez-Lamo I, Sutton N, Garcia-Rincon D, de la Prida LM, Ascoli GA",99999999,,,,,,1,46,Rhythmic firing of hippocampal and entorhinal neuron types in vivo: integrating single-cell phenotypes with circuit function,2021,PLoS Biology,,,,
"Ribak CE, Vaughn JE, Saito K",75042,,,10.1016/0006-8993(78)90463-8,,,315,332,Immunocytochemical localization of glutamic acid decarboxylase in neuronal somata following colchicine inhibition of axonal transport.,1978 Jan 27,Brain Res,140,2,,0
Gaarskjaer FB,75894,,,10.1002/cne.901780105,,,73,88,Organization of the mossy fiber system of the rat studied in extended hippocampi. II. Experimental analysis of fiber distribution with silver impregnation methods.,1978 Mar 1,J Comp Neurol,178,1,,0
Gaarskjaer FB,632370,,,10.1002/cne.901780104,,,49,72,Organization of the mossy fiber system of the rat studied in extended hippocampi. I. Terminal area related to number of granule and pyramidal cells.,1978 Mar 1,J Comp Neurol,178,1,,0
"Struble RG, Desmond NL, Levy WB",687975,,,10.1016/0006-8993(78)91113-7,,,580,585,Anatomical evidence for interlamellar inhibition in the fascia dentata.,1978 Sep 8,Brain Res,152,3,1033: DG:BC: Dentate gyrus basket-cells,1
Amaral DG,730852,,,10.1002/cne.901820508,,,851,914,A Golgi study of cell types in the hilar region of the hippocampus in the rat.,1978 Dec 15,J Comp Neurol,182,4 Pt 2,1002: DG:MC: Dentate gyrus mossy cell,1
"Cassell MD, Brown MW",916815,,,10.1016/0024-3205(77)90119-9,,,1187,1191,Cell counts for the stratum pyramidale of the hippocampus of the rat.,1977 Oct 15,Life Sci,21,8,,0
Somogyi P,922488,,,10.1016/0006-8993(77)90808-3,,,345,350,A specific 'axo-axonal' interneuron in the visual cortex of the rat.,1977 Nov 11,Brain Res,136,2,,1
Suez GD,931512,,,,,,585,589,Immunological evaluation. When? How? Why?,1977 Aug-Sep,Arch Fr Pediatr,34,7,,
"Steward O, Scoville SA",972204,,,10.1002/cne.901690306,,,347,370,Cells of origin of entorhinal cortical afferents to the hippocampus and fascia dentata of the rat.,1976 Oct 1,J Comp Neurol,169,3,"6092: EC:PC_III: EC layer III cells, fibers from the medial entorhinal region, entorhinal projection system ### 6017: EC:PC_III_sm: EC layer II cells of pyramidal form",1
