authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,issue,type_mapping,packet
"Lee SY, Foldy C, Szabadics J, Soltesz I",21795548,,,10.1523/JNEUROSCI.1970-11.2011,,,10993,11002,Cell-type-specific CCK2 receptor signaling underlies the cholecystokinin-mediated selective excitation of hippocampal parvalbumin-positive fast-spiking basket cells.,2011 Jul 27,J Neurosci,31,30,,
"Mizuseki K, Diba K, Pastalkova E, Buzsáki G.",21822270,,,,,,1174,1181,Hippocampal CA1 pyramidal cells form functionally distinct sublayers.,2011,Nat Neurosci.,,,,
"Picardo MA, Guigue P, Bonifazi P, Batista-Brito R, Allene C, Ribas A, Fishell G, Baude A, Cossart R",21867885,,,10.1016/j.neuron.2011.06.018,,,695,709,Pioneer GABA cells comprise a subpopulation of hub neurons in the developing hippocampus.,2011 Aug 25,Neuron,71,4,,
"Kuruba R, Hattiangady B, Parihar VK, Shuai B, Shetty AK",21915341,,,10.1371/journal.pone.0024493,,,e24493,,Differential susceptibility of interneurons expressing neuropeptide Y or parvalbumin in the aged hippocampus to acute seizure activity.,2011,PLoS One,6,9,,
"Anderson WD, Galvan EJ, Mauna JC, Thiels E, Barrionuevo G",21938402,,,10.1007/s00424-011-1025-3,,,895,912,Properties and functional implications of I (h) in hippocampal area CA3 interneurons. ,2011 Dec,Pflugers Arch,462,6,,
"Markwardt SJ, Dieni CV, Wadiche JI, Overstreet-Wadiche L",21983681,,,10.1038/nn.2935,,,1407,1409,Ivy/neurogliaform interneurons coordinate activity in the neurogenic niche.,2011 Nov,Nat Neurosci,14,11,,
"Krook-Magnuson E, Luu L, Lee SH, Varga C, Soltesz I",22016519,,,10.1523/JNEUROSCI.2269-11.2011,,,14861,14870,Ivy and neurogliaform interneurons are a major target of mu-opioid receptor modulation.,2011 Oct 19,J Neurosci,31,42,,
"Karlocai MR, Toth K, Watanabe M, Ledent C, Juhasz G, Freund TF, Magloczky Z",22076136,,,10.1371/journal.pone.0027196,,,e27196,,Redistribution of CB1 cannabinoid receptors in the acute and chronic phases of pilocarpine-induced epilepsy.,2011,PLoS One,6,11,,
"Iball J, Ali AB",22125513,,,10.3389/fncir.2011.00017,,,17,,Endocannabinoid Release Modulates Electrical Coupling between CCK Cells Connected via Chemical and Electrical Synapses in CA1.,2011,Front Neural Circuits,5,,,
"Lasztoczi B, Tukker JJ, Somogyi P, Klausberger T",22159120,,,10.1523/JNEUROSCI.3573-11.2011,,,18073,18093,Terminal field and firing selectivity of cholecystokinin-expressing interneurons  in the hippocampal CA3 area.,2011 Dec 7,J Neurosci,31,49,,
"Canto CB, Witter MP",22161956,,,10.1002/hipo.20993,,,1277,1299,Cellular properties of principal neurons in the rat entorhinal cortex. II. The medial entorhinal cortex.,2012 Jun,Hippocampus,22,6,"6082: EC:excitatory: MEC LII stellate cells, MEC LII pyramidal neurons, MEC LII oblique pyramidal neurons ### 6002: EC:PC_V-DG-SUB: MEC layer V bipolar neuron ### 6003: EC:SC_II: MEC LII stellate cells ### 6006: EC:cmplx_PC_III_med: MEC LII complex pyramidal cells ### 6094: EC:FOMP: MEC layer I multipolar neurons ### 6017: EC:PC_III_sm: MEC LIII small spiny pyramidal neurons ### 6019: EC:OPC-SC_II: MEC layer II between oblique pyramidal and stellate cells ### 6085: EC:PC_V-DG: MEC LV superficial pyramidal neuron ### 6021: EC:PC_V_sm: MEC LV deep pyramidal neurons ### 6023: EC:PC_V: MEC superficial layer V pyramidal neuron ### 6024: EC:BPN_III: MEC layer V bipolar complex pyramidal neurons ### 6031: EC:MPN_III_med: MEC LIII multipolar principal neurons ### 6033: EC:MPN_V: MEC layer V multipolar neuron; MEC layer V tilted pyramidal neuron ### 6086: EC:MPN_V-VI: MEC layer VI multipolar neuron, medial entorhinal cortex multipolar LVI principal neuron ### 6052: EC:PC-PMC_V/VI: MEC LVI pyramidal neurons, MEC LVI horizontal pyramidal neurons, MEC LVI tilted pyramidal neurons ### 6026: EC:MPN_2_III: MEC layer III multipolar principal neurons",1
"Canto CB, Witter MP",22162008,,,10.1002/hipo.20997,,,1256,1276,Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex.,2012 Jun,Hippocampus,22,6,"6082: EC:excitatory: LEC LII pyramidal neurons, LEC LIII complex pyramidal neurons ### 6007: EC:cmplx_PC_III_lat: LEC LII complex pyramidal neurons ### 6008: EC:PC-MFC_II: LEC LII multiform neurons ### 6094: EC:FOMP: LEC layer I multipolar neurons, LEC layer II oblique pyramidal neurons, LEC layer II fan neurons ### 6095: EC:HOBIPPY: LEC layer V bipolar pyramidal neuron, LEC superficial layer V pyramidal neuron ### 6092: EC:PC_III: EC layer III simple pyramidal neurons ### 6018: EC:SC_III: MEC LIII stellate cells ### 6025: EC:MPN_III_lat: LEC LIII multipolar neurons ### 6078: EC:MPN-2_VI: LEC layer VI tilted pyramidal to multipolar neuron ### 6086: EC:MPN_V-VI: LEC deep layer V pyramidal neuron; LEC layer V tilted pyramidal neuron; LEC layer V multipolar neuron, LEC layer VI multipolar and tilted pyramidal principal neuron, LEC layer VI multipolar to tilted pyramidal principal neuron",1
"Miettinen R, Hajszan T, Riedel A, Szigeti-Buck K, Leranth C",22230770,,,10.1016/j.jneumeth.2011.12.017,,,130,138,Estimation of the total number of hippocampal CA1 pyramidal neurons: new methodology applied to helpless rats.,2012 Mar 30,J Neurosci Methods,205,1,,0
Topolnik L,22304664,,,10.1111/j.1460-9568.2011.07988.x,,,496,506,Dendritic calcium mechanisms and long-term potentiation in cortical inhibitory interneurons.,2012 Feb,Eur J Neurosci,35,4,,
"Laeremans A, Nys J, Luyten W, D'Hooge R, Paulussen M, Arckens L",22314660,,,10.1007/s00429-012-0387-4,,,123,130,AMIGO2 mRNA expression in hippocampal CA2 and CA3a.,2013 Jan,Brain Struct Funct,218,1,,
"Gupta A, Elgammal FS, Proddutur A, Shah S, Santhakumar V",22396425,,,10.1523/JNEUROSCI.4141-11.2012,,,2523,37,Decrease in tonic inhibition contributes to increase in dentate semilunar granule cell excitability after brain injury. ,2012 Feb 15,J Neurosci,32,7,,
