"source_id","target_id","subregion","parcel","CP_mean","CP_std"
6003,6094,"MEC","I",0.007230069912729,0.032664222823358
6017,6086,"EC","V",0.001585482670219,0.003763909742359
6024,6095,"MEC","III",0.001274959405807,0.001121266792014
6082,6040,"EC","I",0.002866039815224,0.014980965964
6086,6033,"EC","V",0.001895319664011,0.002806224080359
1004,1027,"DG","SMo",0.001880685296749,0.001233882276237
1008,1000,"DG","SMo",0.003393746436679,0.007714189048685
1027,1004,"DG","H",0.00410087239702,0.004579698728732
2005,2044,"CA3","SR",0.001081968969732,0
2009,2036,"CA3","SR",0.001305145942128,0.000415468544314
2019,2023,"CA3","SR",0.003218452334569,0.008296007037432
2021,2036,"CA3","SP",0.001281892168344,0.001915495254311
2035,2046,"CA3","SP",0.005955983135926,0.001462303821978
2045,2014,"CA3","SR",0.002553161516143,0.002288523869813
4004,4054,"CA1","SR",0.002667863692937,0.005468997151411
4005,4094,"CA1","SLM",0.000755262312995,3.69471036871271E-05
4006,4094,"CA1","SLM",0.003994190100773,9.59792567901968E-05
4013,4081,"CA1","SO",0.002150346992161,0.00027599395905
4041,4000,"CA1","SO",0.0073330622372,0.00193595925806
4055,4084,"CA1","SO",0.001331922299127,0.003846670130811
4069,4011,"CA1","SLM",0.001826487583376,0.005235496559628
4081,4076,"CA1","SR",0.00380803439093,0.010563365826414
4083,4039,"CA1","SO",0.002186165748632,0.007852456948734
4087,4054,"CA1","SR",0.001648978127032,0.003405295377998
4094,4021,"CA1","SLM",0.000296548562545,0.000341789583074
6006,6048,"MEC","II",0.000259281519129,0
6008,6082,"MEC","II",0.000714176792187,0.000670016916257
6082,6092,"EC","I",0.002660032180438,0.014510435439625
1009,1035,"DG","SMi",0.001591156174114,0.001556604355639
2014,2023,"CA3","SR",0.003759125275878,0.006510489576025
4004,4005,"CA1","SR",0.001735467156067,0.004045605165281
4041,4020,"CA1","SR",0.000876065746593,0.000171531761958
4054,4083,"CA1","SO",0.000425416625097,0.002293435570044
4068,4091,"CA1","SR",0.00226901253543,0.001403196210358
4076,4012,"CA1","SLM",0.007599662203593,0.020087031508104
4087,4041,"CA1","SR",0.000945071948691,0.001990713967789
6006,6003,"MEC","I",0.005900528494421,0.019778233542015
6007,6018,"LEC","II",0.000590760354926,0
6008,6095,"MEC","II",0.000698025615462,0.000797439435103
6023,6008,"MEC","II",0.000879607345184,0.00166335036778
6040,6024,"MEC","II",0.003830365031622,0.015381258114717
6095,6025,"EC","III",0.003881922913459,0.010319781735486
1005,1000,"DG","SMi",0.00250429696671,0.003636778233698
1008,1041,"DG","SMo",0.003704785015266,0.007449830087946
1026,1036,"DG","SG",0.006777703879608,0.003044212173187
2008,2005,"CA3","SLM",0.021288661182718,0
2020,2044,"CA3","SL",0.000971582653299,0.001954420448379
2045,2000,"CA3","SO",0.002623483146945,0.002274547212672
4003,4076,"CA1","SR",0.005348263760209,0.012002776642483
4004,4021,"CA1","SLM",0.001602917829198,0.001174297063998
4005,4011,"CA1","SLM",0.001088596384183,0.000725828425127
4005,4081,"CA1","SR",0.001821758762413,0.000473369327834
4012,4022,"CA1","SLM",0.001856504364704,0.004307590705492
4013,4031,"CA1","SO",0.001558868993521,0.00047421023826
4033,4055,"CA1","SO",0.003157613598352,0.008202528179294
4035,4015,"CA1","SR",0.003527384433573,0.004382451129298
4035,4035,"CA1","SO",0.004053138494949,0
4056,4028,"CA1","SR",0.000795548542877,0.000783958574968
4080,4020,"CA1","SO",0.001725214605306,0.00423950239335
4093,4041,"CA1","SO",0.000757388651495,0.002811112102804
4094,4056,"CA1","SLM",0.000318650612333,0.000340455866639
6002,6003,"MEC","I",0.004132010726864,0.014748080503167
6007,6048,"LEC","II",0.000201817823059,0
6019,6033,"MEC","IV",0.012560957396635,0.01186694108929
6025,6005,"LEC","I",0.000620324336622,0.001184188095178
6086,6086,"EC","VI",0.002363696608566,0.005474769755178
1005,1036,"DG","SMo",0.002937173513685,0.006068439960298
1040,1004,"DG","H",0.004795601031168,0
2000,2001,"CA3","SR",0.001192613188416,4.79347447811868E-05
2013,2005,"CA3","SR",0.000853638512727,0.001423186518311
2020,2036,"CA3","SR",0.001858992987933,0.003957399015914
2036,2028,"CA3","SL",0.00319035177348,0.009175062651741
2045,2046,"CA3","SP",0.003153398434172,0.000774519478305
2046,2036,"CA3","SL",0.000800323563144,0.000819713986655
4013,4022,"CA1","SO",0.001118034264762,0.001142866070722
4013,4093,"CA1","SR",0.001300374324574,0.000997700774225
4015,4000,"CA1","SP",0.002108951824234,0.00820732726241
4023,4079,"CA1","SLM",0.00332927496394,0.000904085048225
4028,4005,"CA1","SR",0.002642454482511,0.000629262555672
4035,4003,"CA1","SR",0.00380556907054,0
4061,4066,"CA1","SR",0.008413456168456,0.004192596604442
4068,4079,"CA1","SLM",0.00186524773405,0.000632599654783
4081,4087,"CA1","SO",0.002212821472302,0.002420242650034
6006,6095,"MEC","I",0.000609787970011,0.000455573295527
6007,6082,"LEC","III",0.001552442276043,0.001469436327784
6018,6025,"EC","III",0.001125878001412,0.000281558999043
6025,6048,"LEC","II",0.000185443550691,0.000395862894759
6038,6095,"MEC","II",0.000727280544551,0.000912984002746
1007,1006,"DG","SMo",0.000152890781864,0.000336669803817
1013,1008,"DG","SMo",0.005528881431523,0.014148825853805
2020,2044,"CA3","SO",0.001305611028025,0.001014513870385
2021,2036,"CA3","SR",0.001464191065738,0.001716331435792
4004,4079,"CA1","SLM",0.002325954332367,0.001707788741286
4035,4093,"CA1","SO",0.002642179468097,0.002507217694312
4041,4022,"CA1","SO",0.002152488406656,0.001965073130702
4068,4078,"CA1","SLM",0.001486345489541,0.001465621590978
4080,4000,"CA1","SP",0.00119016543123,0.005032310041455
4083,4000,"CA1","SR",0.001775364640268,0.002138340756802
4087,4036,"CA1","SLM",0.001196100396381,0.0029912017656
6002,6018,"MEC","II",0.000425772919354,0.000413282190399
6006,6002,"MEC","II",0.001942041935801,0.001086282451338
6006,6006,"MEC","IV",0.006275651097227,0
6006,6021,"MEC","II",0.000771870544764,0.001759039551927
6018,6040,"EC","III",0.000998134004396,0.002121085114021
6023,6019,"MEC","II",0.00123614173108,0
6024,6023,"MEC","III",0.003236647152698,0
6078,6095,"LEC","III",0.000655425431768,0.001018236245209
6095,6085,"EC","V",0.005524142557726,0.019004566655273
1026,1007,"DG","SMo",0.001806565787613,0.00051513327993
1027,1013,"DG","H",0.005239519861014,0.005840633112978
2000,2046,"CA3","SR",0.004007276406204,6.64279440985068E-05
2001,2046,"CA3","SL",0.000930196296524,0.002764328650136
2013,2028,"CA3","SP",0.00157545928885,0.002520027044216
2020,2022,"CA3","SO",0.003284023197271,0.001578220273819
2035,2000,"CA3","SP",0.005163483176972,0.000381438177825
2036,2045,"CA3","SR",0.001411881164454,0.000901130147759
2046,2020,"CA3","SO",0.005682045875796,0.011556348287372
4003,4094,"CA1","SLM",0.000534838764401,3.21989444787499E-05
4006,4055,"CA1","SLM",0.005026410225057,0.005168172649339
4021,4003,"CA1","SR",0.000515695221976,0.000166662483609
4028,4080,"CA1","SR",0.003317655462957,0.002050109494756
4035,4076,"CA1","SO",0.002998621799276,0.002957820385848
4041,4003,"CA1","SP",0.000913210223981,0
4061,4054,"CA1","SLM",0.003762172900864,0.005412752673029
4068,4033,"CA1","SO",0.006604154203919,0.006841872993478
4081,4041,"CA1","SO",0.001845499380497,0.001924263766296
4087,4003,"CA1","SR",0.001731791826802,0.002197997603379
6002,6008,"MEC","II",0.001421920212666,0.002382633103475
6003,6040,"MEC","II",0.010981063090621,0.055025120861532
6003,6085,"MEC","IV",0.000601354158527,0.00074057710381
6017,6018,"EC","III",0.000297716335573,0.000384058651486
6092,6025,"EC","III",0.001088433037267,0.000272780418633
1026,1035,"DG","SG",0.005968783481036,0.004125974119054
2004,2014,"CA3","SR",0.001452928126492,0.001574457301084
2023,2004,"CA3","SR",0.0061464371791,0.009044554674699
2023,2014,"CA3","SR",0.005408828762463,0.008193553548724
2035,2049,"CA3","SP",0.004888660504011,0
