Authors,Title,Journal/Book,Year,PMID/ISBN,Cell Identifier,Name of file containing figure,Figure/Table,Quote reference id,Representative?,NMO_ID,Interpretation notes figures,New?,Notes,copied to portal folder,Ordering
Vida I,Morphology of Hippocampal Neurons,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,4098,Vida--2010-27-HippocampalMicrocircuits-Fig3.jpeg,figure,3615,,book,,,,,642
Vida I,Morphology of Hippocampal Neurons,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,4036,Vida--2010-27-HippocampalMicrocircuits-Fig4-CA1_2232_AA.jpeg,figure,3645,,,,,,,645
Vida I,Morphology of Hippocampal Neurons,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,4078,Vida--2010-27-HippocampalMicrocircuits-Fig5A.jpeg,figure,3663,,,,,,,649
Vida I,Morphology of Hippocampal Neurons,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,4005,Vida--2010-27-HippocampalMicrocircuits-Fig6D.jpeg,figure,3684,,,,,,,655
Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,4036,Somogyi--2010-148-HandbookOfBrainMicrocircuits-Tab1-CA1_2232_AA.jpeg,table,4027,,,,,,,532
Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,4098,Somogyi--2010-148-HandbookOfBrainMicrocircuits-Fig2-Cell4098.jpeg,figure,4030,,schematic,,,,,517
"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",Granule cells in the CA3 area,The Journal of Neuroscience,2010,20554881,2001,Szabadics-Soltesz-2010-8296-JNeurosci-Comparions-Fig2A1.jpeg,figure,4109,1,,,,,,591
"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",Granule cells in the CA3 area,The Journal of Neuroscience,2010,20554881,2046,Szabadics-Soltesz-2010-8296-JNeurosci-Comparions-Fig4C.jpeg,figure,4121,,,,,,,592
"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",Granule cells in the CA3 area,The Journal of Neuroscience,2010,20554881,2001,Szabadics-Soltesz-2010-8296-JNeurosci-Comparions-Fig6A.jpeg,figure,4130,,,,,,,593
"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",Granule cells in the CA3 area,The Journal of Neuroscience,2010,20554881,2036,Szabadics-Soltesz-2010-8296-JNeurosci-Comparions-Fig7C.jpeg,figure,4136,,,,,,,595
"Szabadics J, Varga C, Brunner J, Chen K, Soltesz I",Granule cells in the CA3 area,The Journal of Neuroscience,2010,20554881,2046,Szabadics-Soltesz-2010-8296-JNeurosci-Comparions-Fig7A.jpeg,figure,4136,,,,,,,594
"Wouterlood FG, van Denderen JC, van Haeften T, Witter MP.","Calretinin in the Entorhinal Cortex of

the Rat: Distribution, Morphology,

Ultrastructure of Neurons, and Co-

localization With g-Aminobutyric Acid

and Parvalbumin",Journal of Comparative Neurology,2000,10954838,6087,Wouterlood-Witter-2000-177-JCompNeurol-Fig3AB.jpeg,figure,16706,,,,,,,672
"Wouterlood FG, van Denderen JC, van Haeften T, Witter MP.","Calretinin in the Entorhinal Cortex of

the Rat: Distribution, Morphology,

Ultrastructure of Neurons, and Co-

localization With g-Aminobutyric Acid

and Parvalbumin",Journal of Comparative Neurology,2000,10954838,6087,Wouterlood-Witter-2000-177-JCompNeurol-Fig4A.jpeg,figure,16709,1,,,,,,673
"Somogyi P, Klausberger T",Defined types of cortical interneurone structure space and spike timing in the hippocampus,The Journal of Physiology,2005,15539390,4080,Somogyi-Klausberger-2005-9-JPhysiol-Fig3.jpeg,figure,60174,1,,,,,,550
"Spruston N, McBain C",Chapter 5: Structural and functional properties of hippocampal neurons,The Hippocampus Book,2007,978-0-19-510027-3,1000,Spruston-McBain-2007-133-THB-Fig13.jpeg,figure,60225,,,,,,,569
"Spruston N, McBain C",Chapter 5: Structural and functional properties of hippocampal neurons,The Hippocampus Book,2007,978-0-19-510027-3,1002,Spruston-McBain-2007-133-THB-Fig16.jpeg,figure,60237,,,,,,,570
"Spruston N, McBain C",Chapter 5: Structural and functional properties of hippocampal neurons,The Hippocampus Book,2007,978-0-19-510027-3,4069,Spruston-McBain-2007-133-THB-Fig24A1.jpeg,figure,60270,,,,,,,573
Klausberger T,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,European Journal of Neuroscience,2009,19735288,4098,Klausberger--2009-947-EurJNeurosci-Fig1-CA1_(+)2223p_SUB_111-EC_000011_sPC.jpeg,figure,80250,,schematic,,,,,340
"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,3000,Mercer-Thomson-2007-7329-JNeurosc-Fig2AB.jpeg,figure,80305,1,,,,,,430
"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,3006,Mercer-Thomson-2007-7329-JNeurosc-Fig3Ba.jpeg,figure,80310,1,,,,,,431
"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,3003,Mercer-Thomson-2007-7329-JNeurosc-Fig4BC.jpeg,figure,80315,1,,,,,,433
Vida I,Morphology of Hippocampal Neurons,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,2035,Vida--2010-27-HippocampalMicrocircuits-Fig7.jpeg,figure,91004,,,,,,,657
"H_jos N, P_lhalmi J, Mann EO, N_meth B, Paulsen O, Freund TF",Spike timing of distinct types of GABAergic interneuron during hippocampal gamma oscillations in vitro,J Neuroscience,2004,15483131,2023,Hajos-Freund-2004-9127-JNeurosci-Fig5B.jpeg,figure,510046,1,,,,,,281
"H_jos N, P_lhalmi J, Mann EO, N_meth B, Paulsen O, Freund TF",Spike timing of distinct types of GABAergic interneuron during hippocampal gamma oscillations in vitro,J Neuroscience,2004,15483131,2021,Hajos-Freund-2004-9127-JNeurosci-Fig6ABC.jpeg,figure,510048,1,,,,,,283
