source_id,target_id,subregion,parcel,NPS_mean,NPS_std
1004,1010,DG,H,0.010785652,0
1004,1010,DG,SMi,0.008778443,0
1004,1010,DG,SMo,0.032698815,0
1004,1013,DG,H,0.020063894,0.001359184
1004,1026,DG,H,0.019719188,2.41562E-05
1004,1026,DG,SMi,0.00795874,0.001438027
1004,1027,DG,H,0.017636766,0.006592881
1004,1027,DG,SMi,0.004701192,0.000951724
1004,1027,DG,SMo,0.005073132,0.001699712
1004,1035,DG,H,0.008622403,0.002754421
1004,1035,DG,SMi,0.006784921,0.001661848
1004,1035,DG,SMo,0.017555233,0.010916988
1004,1036,DG,H,0.02276691,0
1004,1036,DG,SMi,0.012844825,0
1004,1036,DG,SMo,0.020180969,0
1004,1040,DG,SMi,0.005104858,0
1004,1041,DG,H,0.01379317,0
1004,1041,DG,SMi,0.010003494,0
1004,1041,DG,SMo,0.012505709,0
1004,1043,DG,H,0.0293077,0
1004,1043,DG,SMi,0.005092374,0
1004,1043,DG,SMo,0.003979089,0
1004,4011,DG,SMo,0.004523201,0.002132445
1005,1000,DG,SMi,0.005532485,0.001611936
1005,1000,DG,SMo,0.012098083,0.003671058
1005,1001,DG,SMi,0.004962461,0.002163409
1005,1001,DG,SMo,0.01717548,0.0063555
1005,1004,DG,SMi,0.002222493,0.000611979
1005,1004,DG,SMo,0.002788919,0.000826267
1005,1005,DG,SMi,0.004512034,0.001846541
1005,1005,DG,SMo,0.004555043,0.002729146
1005,1006,DG,SMi,0.001948077,0.00057575
1005,1006,DG,SMo,0.002499166,0.000843872
1005,1007,DG,SMo,0.005210182,0.00154361
1005,1008,DG,SMo,0.012137803,0.009007078
1005,1009,DG,SMi,0.003653247,0.001631881
1005,1009,DG,SMo,0.006199535,0.003048041
1005,1010,DG,SMi,0.005557982,0.001530429
1005,1010,DG,SMo,0.031612352,0.009365729
1005,1026,DG,SMi,0.005038996,0.001659572
1005,1027,DG,SMi,0.002976512,0.001017274
1005,1027,DG,SMo,0.00490457,0.002193543
1005,1035,DG,SMi,0.004295804,0.001583127
1005,1035,DG,SMo,0.016971936,0.011690831
1005,1036,DG,SMi,0.008132571,0.00223936
1005,1036,DG,SMo,0.019510429,0.005780316
1005,1040,DG,SMi,0.003232089,0.000889978
1005,1041,DG,SMi,0.006333611,0.001744004
1005,1041,DG,SMo,0.01209019,0.003581936
1005,1043,DG,SMi,0.003224185,0.000887802
1005,1043,DG,SMo,0.003846878,0.001139707
1005,4011,DG,SMo,0.004372912,0.002434875
1006,1000,DG,SMo,0.005856778,0.000889071
1006,1001,DG,SMo,0.008314786,0.002166507
1006,1004,DG,SMo,0.001350138,0.000184836
1006,1005,DG,SMo,0.002205132,0.001187389
1006,1006,DG,SMo,0.001209866,0.000256602
1006,1007,DG,SMo,0.00252229,0.000345305
1006,1008,DG,SMo,0.005876006,0.004077934
1006,1009,DG,SMo,0.003001244,0.001247208
1006,1010,DG,SMo,0.015303789,0.00209511
1006,1027,DG,SMo,0.002374341,0.000859351
1006,1035,DG,SMo,0.008216248,0.005231746
1006,1036,DG,SMo,0.009445153,0.001293054
1006,1041,DG,SMo,0.005852956,0.000801278
1006,1043,DG,SMo,0.001862304,0.000254952
1006,4011,DG,SMo,0.002116961,0.00103926
1007,1000,DG,SMo,0.004102735,0.000269093
1007,1001,DG,SMo,0.005824595,0.0012913
1007,1004,DG,SMo,0.000945786,0
1007,1005,DG,SMo,0.001544718,0.000804447
1007,1006,DG,SMo,0.000847524,0.00013729
1007,1007,DG,SMo,0.001766891,0
1007,1008,DG,SMo,0.004116204,0.002800503
1007,1009,DG,SMo,0.002102403,0.000824912
1007,1010,DG,SMo,0.010720466,0
1007,1027,DG,SMo,0.001663251,0.000557259
1007,1035,DG,SMo,0.005755569,0.003579188
1007,1036,DG,SMo,0.006616429,0
1007,1041,DG,SMo,0.004100058,0
1007,1043,DG,SMo,0.001304564,0
1007,4011,DG,SMo,0.001482954,0.000699132
1007,5001,SUB,SM,0.009021858,0.002807424
1007,5002,SUB,SM,0.001259197,0.000309678
1007,5005,SUB,SM,0.018247049,0
1008,1000,DG,SMo,0.038409843,0.01697682
1008,1001,DG,SMo,0.054529918,0.02672547
1008,1004,DG,SMo,0.008854454,0.003870263
1008,1005,DG,SMo,0.014461669,0.009832429
1008,1006,DG,SMo,0.007934529,0.003698674
1008,1007,DG,SMo,0.016541651,0.00723032
1008,1008,DG,SMo,0.038535948,0.031162815
1008,1009,DG,SMo,0.019682717,0.011561075
1008,1010,DG,SMo,0.100365111,0.043869371
1008,1027,DG,SMo,0.015571374,0.00857568
1008,1035,DG,SMo,0.053883691,0.040957661
1008,1036,DG,SMo,0.061943076,0.027075184
1008,1041,DG,SMo,0.038384781,0.016777904
1008,1043,DG,SMo,0.01221334,0.005338424
1008,4011,DG,SMo,0.013883426,0.008925604
1009,1000,DG,SMi,0.010079138,0.001091552
1009,1001,DG,SMi,0.009040662,0.003091
1009,1004,DG,SMi,0.004048961,0.000208837
1009,1005,DG,SMi,0.008220069,0.002524549
1009,1006,DG,SMi,0.003549027,0.000422727
1009,1009,DG,SMi,0.006655523,0.002365978
1009,1010,DG,SMi,0.010125589,0.000522257
1009,1026,DG,SMi,0.009180094,0.001724964
1009,1027,DG,SMi,0.00542264,0.001132845
1009,1035,DG,SMi,0.007826139,0.001958917
1009,1036,DG,SMi,0.014816001,0.000764178
1009,1040,DG,SMi,0.005888253,0.000303704
1009,1041,DG,SMi,0.011538638,0.000595139
1009,1043,DG,SMi,0.005873854,0.000302961
1010,1002,DG,H,0.07335727,0.004947969
1010,1041,DG,H,0.037885529,0
1010,1043,DG,H,0.080499096,0
1010,1043,DG,SG,0.019031425,0
1013,1000,DG,SMo,0.025216815,0.003150354
1013,1001,DG,SMo,0.03579996,0.008802402
1013,1004,DG,SMo,0.005813123,0.000618102
1013,1005,DG,SMo,0.009494369,0.005046413
1013,1006,DG,SMo,0.005209174,0.001009376
1013,1007,DG,SMo,0.010859918,0.001154721
1013,1008,DG,SMo,0.025299605,0.017421793
1013,1009,DG,SMo,0.012922089,0.005253065
1013,1010,DG,SMo,0.065891662,0.007006173
1013,1027,DG,SMo,0.010222912,0.00359345
1013,1035,DG,SMo,0.035375699,0.022318173
1013,1036,DG,SMo,0.040666843,0.004324052
1013,1041,DG,SMo,0.025200361,0.002679521
1013,1043,DG,SMo,0.008018297,0.000852575
1013,4011,DG,SMo,0.009114741,0.004405043
1026,1000,DG,SMi,0.007094344,0.001347637
1026,1000,DG,SMo,0.010475594,0.002126607
1026,1001,DG,SMi,0.006363399,0.002391584
1026,1001,DG,SMo,0.014872054,0.004362848
1026,1002,DG,H,0.067717551,0.006250684
1026,1004,DG,H,0.028812135,0.001815556
1026,1004,DG,SMi,0.002849919,0.000468431
1026,1004,DG,SMo,0.002414893,0.000463945
