evidence_ID,neurite_ID,type_ID,original_id,fragment_id,Article_id,priority,conflict_note,unvetted,linking_quote,interpretation_notes,property_type_explanation,pc_flag,soma_pcl_flag,ax_de_pcl_flag,perisomatic_targeting_flag,supplemental_pmids
20105,464,3000,800012,20104,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20105,392,3000,800012,20104,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20105,399,3000,800012,20104,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20105,403,3000,800012,20104,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20105,404,3000,800012,20104,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20105,405,3000,800012,20104,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20134,483,3000,800014,20133,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20134,417,3000,800014,20133,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20134,467,3000,800014,20133,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20134,401,3000,800014,20133,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20134,466,3000,800014,20133,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20134,400,3000,800014,20133,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20134,465,3000,800014,20133,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20134,399,3000,800014,20133,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20134,464,3000,800014,20133,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,483,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,417,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,467,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,401,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,466,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,400,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,465,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,399,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,464,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,405,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,397,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,396,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20157,394,3000,800016,20156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20184,483,3006,800018,20183,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20184,417,3006,800018,20183,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20184,467,3006,800018,20183,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20184,401,3006,800018,20183,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20184,466,3006,800018,20183,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20184,400,3006,800018,20183,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20184,465,3006,800018,20183,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20184,399,3006,800018,20183,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20184,464,3006,800018,20183,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,483,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,417,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,405,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,470,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,404,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,403,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,467,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,401,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,466,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,400,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,465,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,399,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,464,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,398,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,462,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20221,396,3007,800020,20220,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
20269,483,3003,800022,20268,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
