source_id,target_id,NPS_mean_total,NPS_stdev_total,parcel_count
1000,1002,0.022507547,0.004511193,1
1000,1004,0.009576402,0.001807449,1
1000,1005,0.008134366,0.003898604,1
1000,1006,0.00542231,0.003437398,1
1000,1009,0.006379807,0.001501577,1
1000,1010,0.009089514,0.001715554,1
1000,1013,0.016908672,0.003390676,1
1000,1026,0.016618174,0.003136578,1
1000,1027,0.014863231,0.00622413,1
1000,1035,0.007266455,0.002696145,1
1000,1036,0.019186615,0.003621279,1
1000,1041,0.011624074,0.002193926,1
1000,1043,0.024698808,0.00466165,1
1000,2000,0.001266634,5.642E-05,2
1000,2004,0.003681225,0.000191402,2
1000,2005,0.000602046,N/A,1
1000,2013,0.001187581,0.000239101,1
1000,2014,0.001392999,0.000712694,1
1000,2019,0.003787403,0.000591227,1
1000,2028,0.003147786,0.000108954,2
1000,2035,0.001682532,8.2993E-05,2
1000,2036,0.001391641,0.000499517,2
1000,2043,0.002855201,0.000122503,2
1000,2044,0.000663335,2.49651E-05,2
1000,2045,0.003156576,8.26169E-05,2
1000,2046,0.001356453,0.000199685,2
1000,2049,0.001061268,5.36047E-05,2
1001,1000,0.000750972,0.000116253,1
1001,1001,0.000673598,0.000242056,1
1001,1002,0.033108687,0.004327177,1
1001,1004,0.014388602,0.001577406,2
1001,1005,0.01257814,0.005442657,2
1001,1006,0.008979961,0.004920234,3
1001,1009,0.010852734,0.001766562,3
1001,1010,0.015329067,0.001585486,3
1001,1013,0.024872721,0.003254529,1
1001,1026,0.026976355,0.002861244,3
1001,1027,0.02343474,0.008548074,3
1001,1035,0.012574256,0.003694474,3
1001,1036,0.031516485,0.003297938,3
1001,1040,0.001198696,0.000329264,2
1001,1041,0.017958772,0.001917047,2
1001,1043,0.037775653,0.004090252,3
1001,2000,0.000434126,N/A,1
1001,2004,0.001115042,N/A,1
1001,2005,0.000349741,N/A,1
1001,2013,0.000689891,0.000138899,1
1001,2014,0.000809222,0.000414019,1
1001,2019,0.002200182,0.000343456,1
1001,2028,0.001246021,N/A,1
1001,2035,0.00053364,N/A,1
1001,2036,0.000535708,0.000288663,1
1001,2043,0.001003603,N/A,1
1001,2044,0.000251852,N/A,1
1001,2045,0.001391954,N/A,1
1001,2046,0.000356167,7.50716E-05,1
1001,2049,0.000329879,N/A,1
1002,1000,0.002808245,0.001293138,1
1002,1001,0.002518906,0.001418678,1
1002,1002,0.036291978,0.00486558,1
1002,1004,0.016569455,0.001859894,2
1002,1005,0.015406416,0.006102751,2
1002,1006,0.009731957,0.005406764,2
1002,1009,0.012141389,0.002153249,2
1002,1010,0.017477447,0.002121123,2
1002,1013,0.027264151,0.003659259,1
1002,1026,0.029353495,0.003343881,2
1002,1027,0.025476862,0.009408956,2
1002,1035,0.013897209,0.004135514,2
1002,1036,0.035065217,0.004038265,2
1002,1040,0.001640583,0.000739124,1
1002,1041,0.021957965,0.00261035,2
1002,1043,0.041461818,0.00467287,2
1004,1000,0.021252046,0.001168791,2
1004,1001,0.025603631,0.004746633,2
1004,1002,0.02670754,0.001801431,1
1004,1004,0.017758436,N/A,3
1004,1005,0.021490301,0.005362612,3
1004,1006,0.012096044,0.003930219,3
1004,1007,0.005389247,N/A,1
1004,1008,0.012554959,0.0085419,1
1004,1009,0.019752953,0.003403345,3
1004,1010,0.05226291,N/A,3
1004,1013,0.020063894,0.001359184,1
1004,1026,0.027677928,0.001438229,2
1004,1027,0.02741109,0.006874655,3
1004,1035,0.032962556,0.01138109,3
1004,1036,0.055792704,N/A,3
1004,1040,0.005104858,N/A,1
1004,1041,0.036302373,N/A,3
1004,1043,0.038379163,N/A,3
1004,4011,0.004523201,0.002132445,1
1005,1000,0.017630568,0.004009365,2
1005,1001,0.022137941,0.006713622,2
1005,1004,0.005011412,0.00102822,2
1005,1005,0.009067076,0.003295141,2
1005,1006,0.004447244,0.001021572,2
1005,1007,0.005210182,0.00154361,1
1005,1008,0.012137803,0.009007078,1
1005,1009,0.009852782,0.003457396,2
1005,1010,0.037170334,0.009489947,2
1005,1026,0.005038996,0.001659572,1
1005,1027,0.007881082,0.002417949,2
1005,1035,0.021267739,0.011797535,2
1005,1036,0.027642999,0.006198934,2
1005,1040,0.003232089,0.000889978,1
1005,1041,0.018423801,0.003983945,2
1005,1043,0.007071064,0.001444688,2
1005,4011,0.004372912,0.002434875,1
1006,1000,0.005856778,0.000889071,1
1006,1001,0.008314786,0.002166507,1
1006,1004,0.001350138,0.000184836,1
1006,1005,0.002205132,0.001187389,1
1006,1006,0.001209866,0.000256602,1
1006,1007,0.00252229,0.000345305,1
1006,1008,0.005876006,0.004077934,1
1006,1009,0.003001244,0.001247208,1
1006,1010,0.015303789,0.00209511,1
1006,1027,0.002374341,0.000859351,1
1006,1035,0.008216248,0.005231746,1
1006,1036,0.009445153,0.001293054,1
1006,1041,0.005852956,0.000801278,1
1006,1043,0.001862304,0.000254952,1
1006,4011,0.002116961,0.00103926,1
1007,1000,0.004102735,0.000269093,1
1007,1001,0.005824595,0.0012913,1
1007,1004,0.000945786,N/A,1
1007,1005,0.001544718,0.000804447,1
1007,1006,0.000847524,0.00013729,1
1007,1007,0.001766891,N/A,1
1007,1008,0.004116204,0.002800503,1
1007,1009,0.002102403,0.000824912,1
1007,1010,0.010720466,N/A,1
1007,1027,0.001663251,0.000557259,1
1007,1035,0.005755569,0.003579188,1
1007,1036,0.006616429,N/A,1
1007,1041,0.004100058,N/A,1
1007,1043,0.001304564,N/A,1
1007,4011,0.001482954,0.000699132,1
1007,5001,0.009021858,0.002807424,1
1007,5002,0.001259197,0.000309678,1
1007,5005,0.018247049,N/A,1
1008,1000,0.038409843,0.01697682,1
1008,1001,0.054529918,0.02672547,1
1008,1004,0.008854454,0.003870263,1
1008,1005,0.014461669,0.009832429,1
1008,1006,0.007934529,0.003698674,1
1008,1007,0.016541651,0.00723032,1
1008,1008,0.038535948,0.031162815,1
