"source_id","target_id","NC_mean_total","NC_stdev_total","parcel_count"
1000,1002,2.89646116116004,2.7463294487362,1
1000,1004,2.26954762797386,3.2507168967759,1
1000,1005,1.86671219888625,2.68732508096407,1
1000,1006,1.76407549567468,2.9703560683272,1
1000,1009,1.9127743694954,2.96929275788395,1
1000,1010,2.32635900962283,3.66210641798653,1
1000,1013,2.8438279887918,3.65500885322958,1
1000,1026,3.09344606010847,4.24836585375215,1
1000,1027,2.78809337509834,4.28828689648077,1
1000,1035,2.10015636227414,3.49550032007471,1
1000,1036,3.67233368205964,5.52169978391309,1
1000,1041,2.08460887830541,2.12001978675925,1
1000,1043,3.11421041943003,2.91489979451808,1
1001,1000,3.04841225390526,3.29229781177317,1
1001,1001,2.41421179337366,3.23762662961429,1
1001,1002,5.69857812507141,4.92903542100476,1
1001,1004,7.29627024390454,11.4746190263491,2
1001,1005,3.91773211911648,6.719572606394,2
1001,1006,5.41038526685246,10.7702924524137,3
1001,1009,6.16214934082783,12.6269889605391,3
1001,1010,9.32788681164298,18.7834072176882,3
1001,1013,6.71948643519694,11.0545749325562,1
1001,1026,9.40164193984838,14.9147833241865,3
1001,1027,8.38465600041372,15.8666206848753,3
1001,1035,9.82419835641739,19.8425311280269,3
1001,1036,17.2421353834684,28.7987349809013,3
1001,1040,1.50120671012743,1.69279049968069,2
1001,1041,4.90020946507169,3.19646044978804,2
1001,1043,7.00699107147822,4.78372705645306,3
1002,1000,1.18296307417823,0.742112018812483,1
1002,1001,1.16294743436598,0.819930984952081,1
1002,1002,2.98202606617373,1.46084600532339,1
1002,1004,2.17806236165353,1.028854425531,2
1002,1005,1.9629896736264,1.19282516241606,2
1002,1006,1.7102284532027,1.08116363734861,2
1002,1009,1.88304690105627,0.932909147770104,2
1002,1010,2.2842472331607,1.09606703275494,2
1002,1013,2.74627136041719,1.69983635139633,1
1002,1026,3.01112223974655,1.45901349556174,2
1002,1027,2.7222573816666,1.73658146911484,2
1002,1035,2.04131469885816,1.0931471481506,2
1002,1036,3.54127751376311,1.77559246880982,2
1002,1040,1.10068315207598,0.663614086267384,1
1002,1041,2.29521182365673,0.897323472437924,2
1002,1043,3.30025935802987,1.32004233018082,2
1004,1000,9.11411873101184,4.60241159174494,2
1004,1001,10.1921904099157,5.04745043889651,2
1004,1002,4.69076802923253,1.65344154741867,1
1004,1004,7.67008214158701,"N/A",3
1004,1026,8.66570996451335,2.80231974900934,2
1004,1027,9.83898499826563,8.80306899028616,3
1008,1000,11.3178330980863,25.235075455733,1
1027,1004,5.94320292129296,5.1002819557217,2
1027,1035,7.41072393633601,6.34509217488039,3
2005,2044,12.0617557549599,"N/A",2
2005,2045,5.94185382279765,"N/A",1
2009,2036,4.08994074663745,1.30021365818059,1
2014,2045,5.58462504465587,3.76587720689298,2
2019,2023,3.99758476216932,9.28577107709295,1
2021,2036,16.2065435400602,12.7703595946629,3
2035,2046,2.40622539717154,0.329588435238565,2
2045,2028,20.5383236260858,"N/A",4
4013,4079,5.13747183099308,2.01689318655352,3
4055,4036,11.3899069618476,22.1583313564885,2
4066,4000,7.38159256554826,7.94583990787277,1
4080,4020,3.74328065000501,5.44886749156232,3
4081,4039,3.56118201053311,10.4097895449551,1
4081,4084,7.13399703776342,7.08220641966348,3
4091,4087,14.4506517399677,30.5256308181655,1
6002,6040,3.38290493506435,6.58683612161471,3
6003,6008,3.87697804199863,8.31170293224046,3
6003,6094,4.93879428894464,14.8244877880909,2
6017,6086,3.52999615335551,5.83229014588842,3
6024,6095,3.09528043242869,1.44537574787054,3
6082,6040,5.31460621790058,8.76692148023174,3
6086,6033,3.07247720960524,3.64827594469711,2
1013,1007,2.55101129679926,6.10562166957086,1
2009,2045,6.20758680913453,"N/A",2
2046,2019,10.0591956150669,3.85672083182158,1
4003,4054,7.90056038389314,6.48818062505107,2
4004,4015,7.3487983294491,9.70908552285857,2
4004,4093,3.74459063280906,8.87375264283691,1
4028,4093,4.79337647104803,2.80799437038712,1
4061,4028,5.02335851320525,2.04393261909377,1
4083,4079,4.24546280394143,4.05806275039393,2
4087,4055,6.46909331212979,12.798591011223,2
4089,4056,2.79521038759849,10.7505568299606,1
6002,6082,5.18387498111538,5.43060228291868,3
6018,6025,2.41715774267942,0.436059480311936,1
6024,6024,2.72869764613678,"N/A",2
6078,6025,4.25019649443826,0.905636669896981,3
6082,6025,3.44559821668527,3.1427635911526,1
2045,2020,10.025181554593,14.1282492785344,1
4005,4004,6.28823223462627,3.94395532685542,2
4013,4015,2.45313704137287,3.34727402048503,1
4035,4022,7.90249875507259,6.25038346460394,1
4081,4076,7.55686201753804,9.34295486963512,3
4083,4091,1.63727895221983,2.53175824621972,1
4084,4066,5.28438679753248,8.77816815148065,1
4087,4028,2.87645743496585,4.88263450292708,1
6017,6052,3.04922888712003,4.22286311438049,2
6078,6082,3.25681837153681,4.15084524360453,1
1007,1010,9.75770438858826,"N/A",1
1008,1001,14.8550981391544,31.2863433770512,1
1008,1008,13.813014384243,37.7428270867434,1
1009,1040,2.91486625015656,1.72947628074652,1
1026,1043,10.1279762940994,5.01182265616416,4
2005,2004,8.37902476386647,"N/A",1
2013,2022,3.23606851612349,0.842551951714285,1
3003,3008,9.2424748117368,7.02955027127716,3
3008,3008,4.05012841452619,"N/A",1
4023,4031,3.1249225476496,0.817498714418271,1
4028,4079,6.75480056290813,2.17376475033385,1
4031,4055,2.4814062597674,1.6366002784802,1
4054,4036,1.51633383452848,8.44304746151082,1
4061,4061,11.0137981630626,"N/A",1
