# ----------------------------------------
# All Web Site Data
# Landing Pages
# 20150101-20230701
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
/devur2/property_page_phases.php?id_neuron=1000&val_property=theta,9,0.00%,0,11.11%,3.56,00:07:45,0.00%,0,$0.00
/devur3/,9,33.33%,3,0.00%,3.78,00:06:49,0.00%,0,$0.00
/php_v2_dev/synapse_probabilities_sypr.php,9,0.00%,0,66.67%,2.11,00:00:49,0.00%,0,$0.00
/php/property_page_morphology.php?id_neuron=1000&val_property=DG_SG&color=somata&page=1,9,0.00%,0,44.44%,2.33,00:05:40,0.00%,0,$0.00
/synapse_probabilities/php/synapse_probabilities.php,8,0.00%,0,0.00%,13.88,00:27:19,0.00%,0,$0.00
/php_v2_dev/property_page_synpro.php,7,0.00%,0,0.00%,23.29,00:32:04,0.00%,0,$0.00
/php_v2/property_page_phases.php?id_neuron=1000&val_property=theta,7,0.00%,0,14.29%,5.43,00:22:59,0.00%,0,$0.00
/php/property_page_fp.php?id_neuron=1000&parameter=ASP.&count=1&page=1,7,14.29%,1,28.57%,5.43,00:04:30,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1000&val_property=BDNF&color=positive&page=markers,7,28.57%,2,14.29%,4.86,00:16:40,0.00%,0,$0.00
/devur2/,6,0.00%,0,0.00%,5.17,00:09:41,0.00%,0,$0.00
/hippocampome/php_V2/morphology.php,6,0.00%,0,66.67%,1.67,00:02:09,0.00%,0,$0.00
/php_bak_20221004/index.php,6,66.67%,4,66.67%,1.33,00:00:04,0.00%,0,$0.00
/php/Help_Morphological_Interpretations_Full.php,6,66.67%,4,50.00%,3.33,00:07:16,0.00%,0,$0.00
/php/Help_Other_Useful_Links.php,6,0.00%,0,50.00%,2.00,00:03:35,0.00%,0,$0.00
/php/index.php/.env,6,100.00%,6,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_morphology.php?id_neuron=4000&val_property=CA1_SO&color=violet&page=1,6,0.00%,0,66.67%,2.00,00:06:02,0.00%,0,$0.00
/php/user_feedback_form_entry.php,6,50.00%,3,66.67%,1.33,00:02:12,0.00%,0,$0.00
/phpmain/index.php,6,16.67%,1,0.00%,6.17,00:14:31,0.00%,0,$0.00
/synapse_probabilities/php/,6,16.67%,1,0.00%,4.50,00:07:34,0.00%,0,$0.00
/devur2/property_page_phases.php?id_neuron=1000,5,0.00%,0,20.00%,9.00,00:16:14,0.00%,0,$0.00
/devur4/index.php,5,60.00%,3,40.00%,23.80,00:29:15,0.00%,0,$0.00
/php_v2_dev/index.php,5,0.00%,0,60.00%,2.80,00:02:25,0.00%,0,$0.00
/php_v2_dev/property_page_synpro_pvals.php?id_neuron_source=2020&id_neuron_target=3007&color=blue&page=1&nm_page=prosyn,5,0.00%,0,60.00%,2.60,00:03:05,0.00%,0,$0.00
/php_v2/property_page_phases.php?id_neuron=4012&val_property=theta,5,0.00%,0,20.00%,5.40,00:07:11,0.00%,0,$0.00
/php/Help_Marker_Abbreviations.php,5,60.00%,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1041&val2_property=DG_H&color2=violetSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,5,40.00%,2,60.00%,2.00,00:08:06,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=1013&val1_property=DG_SMo&color1=red&id2_neuron=1000&val2_property=DG_SMo&color2=blue&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1,5,0.00%,0,100.00%,1.00,00:00:00,0.00%,0,$0.00
/php/property_page_connectivity.php?id1_neuron=2042&val1_property=DG_H&color1=violet&id2_neuron=1013&val2_property=DG_H&color2=blueSoma&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1,5,0.00%,0,60.00%,2.40,00:04:13,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1000&val_property=CB&color=positive&page=markers,5,0.00%,0,40.00%,4.40,00:12:00,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=1002&val_property=PCP4&color=positive&page=markers,5,20.00%,1,80.00%,1.60,00:00:53,0.00%,0,$0.00
/php/property_page_markers.php?id_neuron=2000&val_property=Bok&color=positive&page=markers,5,0.00%,0,80.00%,1.60,00:00:21,0.00%,0,$0.00
