# ----------------------------------------
# All Web Site Data
# Exit Pages
# 20150101-20230701
# ----------------------------------------

Page,Exits,Pageviews,% Exit
/php/property_page_morphology_linking_pmid_isbn.php?id_neuron=1002&linking_pmid_isbn=9497429&val_property=DG_H&color=somata&page=1,1,1,100.00%
/php/property_page_morphology_linking_pmid_isbn.php?id_neuron=2005&linking_pmid_isbn=19496174&val_property=DG_H&color=somata&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=1000&val_property=DG_SMo&color=blue&page=,1,1,100.00%
/php/property_page_morphology.php?id_neuron=1001&val_property=DG_H&color=red&page=1,1,6,16.67%
/php/property_page_morphology.php?id_neuron=1004&val_property=DG_SG&color=somata&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=1004&val_property=DG_SMi&color=violet&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=1005&val_property=DG_SMi&color=violet&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=1006&val_property=DG_H&color=blue&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=1006&val_property=DG_SMo&color=violet&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=1008&val_property=DG_SMi&color=somata&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=1008&val_property=DG_SMo&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=1008&val_property=DG_SMo&color=violetSoma&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=1009&val_property=DG_H&color=blueSoma&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=1009&val_property=DG_H&color=somata&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=1009&val_property=DG_SMi&color=red&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=1010&val_property=DG_SG&color=somata&page=1,1,6,16.67%
/php/property_page_morphology.php?id_neuron=1010&val_property=DG_SG&color=violetSoma&page=1,1,6,16.67%
/php/property_page_morphology.php?id_neuron=1010&val_property=DG_SMo&color=blue&page=1,1,5,20.00%
/php/property_page_morphology.php?id_neuron=1026&val_property=CA3_SO&color=red&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=1027&val_property=DG_SMo&color=blue&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=1035&val_property=DG_SG&color=violetSoma&page=1,1,8,12.50%
/php/property_page_morphology.php?id_neuron=1035&val_property=DG_SMi&color=blue&page=1,1,6,16.67%
/php/property_page_morphology.php?id_neuron=1035&val_property=DG_SMo&color=blue&page=1,1,6,16.67%
/php/property_page_morphology.php?id_neuron=1036&val_property=DG_SG&color=violetSoma&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=1036&val_property=DG_SMi&color=somata&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=1040&val_property=DG_SG&color=violetSoma&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=1041&val_property=DG_SMi&color=blue&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=1041&val_property=DG_SMo&color=blue&page=1,1,10,10.00%
/php/property_page_morphology.php?id_neuron=1043&val_property=DG_H&color=somata&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=2000&val_property=CA2_SR&color=red&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=2000&val_property=CA3_SO&color=blue&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=2000&val_property=CA3_SO&color=red&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=2003&val_property=CA3_SLM&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=2003&val_property=CA3_SR&color=somata&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=2004&val_property=CA1_SO&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=2009&val_property=CA3_SLM&color=red&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=2009&val_property=CA3_SO&color=somata&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=2009&val_property=CA3_SO&color=violetSoma&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=2013&val_property=CA3_SP&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=2014&val_property=CA3_SL&color=violetSoma&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=2019&val_property=CA3_SL&color=violetSoma&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=2020&val_property=CA1_SR&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=2020&val_property=CA3_SO&color=violetSoma&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=2020&val_property=SUB_PL&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=2021&val_property=CA3_SL&color=red&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=2021&val_property=CA3_SO&color=violetSoma&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=2028&val_property=CA3_SLM&color=blue&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=2028&val_property=CA3_SO&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=2028&val_property=CA3_SR&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=2036&val_property=CA3_SL&color=violetSoma&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=2043&val_property=CA3_SO&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=2044&val_property=CA3_SL&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=2045&val_property=CA3_SL&color=violet&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=2045&val_property=CA3_SO&color=violetSoma&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=2045&val_property=CA3_SP&color=violetSoma&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=2046&val_property=CA3_SL&color=somata&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=3000&val_property=CA2_SLM&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=3000&val_property=CA2_SP&color=somata&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=3006&val_property=CA2_SP&color=violetSoma&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4000&val_property=CA1_SO&color=red&page=1,1,6,16.67%
/php/property_page_morphology.php?id_neuron=4000&val_property=CA1_SP&color=blueSoma&page=1,1,12,8.33%
/php/property_page_morphology.php?id_neuron=4000&val_property=CA1_SR&color=blue&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=4000&val_property=EC_V&color=red&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4000&val_property=SUB_SM&color=red&page=1,1,8,12.50%
/php/property_page_morphology.php?id_neuron=4006&val_property=CA1_SLM&color=violetSoma&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4011&val_property=CA1_SLM&color=violetSoma&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=4013&val_property=CA1_SR&color=somata&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4015&val_property=CA1_SO&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4020&val_property=CA1_SO&color=violet&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4022&val_property=CA1_SO&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4023&val_property=CA1_SLM&color=red&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4023&val_property=CA3_SO&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4028&val_property=CA1_SLM&color=somata&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=4035&val_property=CA1_SO&color=violetSoma&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=4036&val_property=CA1_SLM&color=blue&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=4036&val_property=CA1_SP&color=somata&page=1,1,5,20.00%
/php/property_page_morphology.php?id_neuron=4038&val_property=CA1_SP&color=red&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4039&val_property=CA1_SO&color=blueSoma&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4041&val_property=CA1_SR&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4054&val_property=CA1_SLM&color=blue&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4055&val_property=CA1_SLM&color=blue&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4068&val_property=CA1_SO&color=violetSoma&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=4078&val_property=CA1_SLM&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4078&val_property=CA1_SP&color=somata&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4078&val_property=CA1_SP&color=violetSoma&page=1,1,6,16.67%
/php/property_page_morphology.php?id_neuron=4079&val_property=CA1_SLM&color=somata&page=1,1,5,20.00%
/php/property_page_morphology.php?id_neuron=4079&val_property=CA1_SR&color=blueSoma&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=4079&val_property=CA1_SR&color=somata&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4080&val_property=CA1_SO&color=violetSoma&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4081&val_property=CA1_SO&color=violetSoma&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4081&val_property=CA1_SR&color=somata&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4084&val_property=CA1_SR&color=violetSoma&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=4087&val_property=CA1_SLM&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4089&val_property=CA1_SO&color=somata&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4091&val_property=CA1_SO&color=red&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=4094&val_property=CA1_SLM&color=somata&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=4094&val_property=CA1_SLM&color=violetSoma&page=1,1,9,11.11%
/php/property_page_morphology.php?id_neuron=4098&val_property=CA1_SR&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=4099&val_property=CA1_SR&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=5001&val_property=SUB_SM&color=red&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=5001&val_property=SUB_SP&color=somata&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=5001&val_property=SUB_SP&color=violetSoma&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=5002&val_property=SUB_SM&color=blueSoma&page=1,1,6,16.67%
/php/property_page_morphology.php?id_neuron=5002&val_property=SUB_SP&color=somata&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=5005&val_property=CA1_SP&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=5005&val_property=CA1_SR&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=6003&val_property=EC_II&color=violetSoma&page=1,1,3,33.33%
/php/property_page_morphology.php?id_neuron=6021&val_property=EC_V&color=somata&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=6025&val_property=EC_III&color=somata&page=1,1,2,50.00%
/php/property_page_morphology.php?id_neuron=6025&val_property=EC_III&color=violetSoma&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=6047&val_property=EC_II&color=red&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=6048&val_property=EC_II&color=violetSoma&page=1,1,4,25.00%
/php/property_page_morphology.php?id_neuron=6049&val_property=EC_III&color=violetSoma&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=6052&val_property=EC_VI&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=6082&val_property=EC_II&color=somata&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=6085&val_property=EC_I&color=blue&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=6086&val_property=EC_V&color=violetSoma&page=1,1,1,100.00%
/php/property_page_morphology.php?id_neuron=6094&val_property=EC_I&color=somata&page=1,1,2,50.00%
/php/property_page_morphology.php?name_show_only_article=article&start=0&stop=10&name_show_only_article_var=1,1,1,100.00%
"/php/property_page_morphology.php?neuron_show_only_value=,,Somata&start=0&stop=10&neuron_show_only=1",1,29,3.45%
"/php/property_page_morphology.php?neuron_show_only_value=,Dendrites,Somata&start=0&stop=10&neuron_show_only=1",1,18,5.56%
"/php/property_page_morphology.php?neuron_show_only_value=Axons,Dendrites,Somata&start=0&stop=10&neuron_show_only=1",1,8,12.50%
/php/property_page_phases.php?id_neuron=1000&val_property=DS_ratio,1,3,33.33%
/php/property_page_phases.php?id_neuron=1000&val_property=gamma,1,50,2.00%
/php/property_page_phases.php?id_neuron=1000&val_type=DS_ratio,1,4,25.00%
/php/property_page_phases.php?id_neuron=1002,1,2,50.00%
/php/property_page_phases.php?id_neuron=1002&val_property=theta,1,3,33.33%
/php/property_page_phases.php?id_neuron=1008&val_property=swr_ratio,1,2,50.00%
/php/property_page_phases.php?id_neuron=1035&val_property=all_other,1,3,33.33%
/php/property_page_phases.php?id_neuron=1035&val_property=swr_ratio,1,12,8.33%
/php/property_page_phases.php?id_neuron=2043,1,1,100.00%
/php/property_page_phases.php?id_neuron=2043&val_property=all_other,1,3,33.33%
/php/property_page_phases.php?id_neuron=3000,1,4,25.00%
/php/property_page_phases.php?id_neuron=3000&val_property=all_other,1,4,25.00%
/php/property_page_phases.php?id_neuron=3000&val_property=swr_ratio,1,1,100.00%
/php/property_page_phases.php?id_neuron=3000&val_property=theta,1,2,50.00%
/php/property_page_phases.php?id_neuron=4000&val_property=all_other,1,3,33.33%
/php/property_page_phases.php?id_neuron=4015&val_property=all_other,1,1,100.00%
/php/property_page_phases.php?id_neuron=4035,1,2,50.00%
/php/property_page_phases.php?id_neuron=4036,1,3,33.33%
/php/property_page_phases.php?id_neuron=4036&val_property=firingRate,1,1,100.00%
/php/property_page_phases.php?id_neuron=4036&val_property=theta,1,4,25.00%
/php/property_page_phases.php?id_neuron=4069,1,3,33.33%
/php/property_page_phases.php?id_neuron=4069&val_property=all_other,1,1,100.00%
/php/property_page_phases.php?id_neuron=4079,1,3,33.33%
/php/property_page_phases.php?id_neuron=4079&val_property=all_other,1,1,100.00%
/php/property_page_phases.php?id_neuron=4098&val_property=all_other,1,1,100.00%
/php/property_page_phases.php?id_neuron=4098&val_property=theta,1,6,16.67%
/php/property_page_phases.php?id_neuron=4181,1,1,100.00%
/php/property_page_phases.php?id_neuron=6017,1,1,100.00%
/php/property_page_phases.php?pre_id=4098,1,1,100.00%
/php/property_page_phases.php?pre_id=4099,1,5,20.00%
/php/property_page_synpro_nm.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1041&val2_property=DG_H&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_nm.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1041&val2_property=DG_H&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=ps,1,5,20.00%
/php/property_page_synpro_nm.php?id1_neuron=1001&val1_property=DG_H&color1=red&id2_neuron=1027&val2_property=DG_H&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_nm.php?id1_neuron=1002&val1_property=DG_H&color1=red&id2_neuron=1010&val2_property=DG_H&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_nm.php?id1_neuron=1004&val1_property=DG_H&color1=red&id2_neuron=1002&val2_property=DG_H&color2=blue&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_nm.php?id1_neuron=6008&val1_property=EC_II&color1=red&id2_neuron=6094&val2_property=EC_II&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=prosyn,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=1001&id_neuron_target=1001&color=blue&page=1&nm_page=prosyn,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=1001&id_neuron_target=1006&color=blue&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_pvals.php?id_neuron_source=1001&id_neuron_target=1041&color=blue&page=1&nm_page=noc,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=1002&id_neuron_target=1026&color=blue&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_pvals.php?id_neuron_source=1002&id_neuron_target=1041&color=blue&page=1&nm_page=noc,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=1009&id_neuron_target=1000&color=blue&page=1&nm_page=ps,1,1,100.00%
/php/property_page_synpro_pvals.php?id_neuron_source=1026&id_neuron_target=1000&color=blue&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_pvals.php?id_neuron_source=1040&id_neuron_target=1006&color=blue&page=1&nm_page=prosyn,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=1041&id_neuron_target=1002&color=blue&page=1&nm_page=prosyn,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=2000&id_neuron_target=2000&color=blue&page=1&nm_page=ps,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=2000&id_neuron_target=2028&color=blue&page=1&nm_page=prosyn,1,3,33.33%
/php/property_page_synpro_pvals.php?id_neuron_source=2000&id_neuron_target=2046&color=blue&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_pvals.php?id_neuron_source=2004&id_neuron_target=2043&color=blue&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_pvals.php?id_neuron_source=2049&id_neuron_target=2005&color=blue&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_pvals.php?id_neuron_source=3008&id_neuron_target=3008&color=blue&page=1&nm_page=noc,1,1,100.00%
/php/property_page_synpro_pvals.php?id_neuron_source=4000&id_neuron_target=4000&color=blue&page=1&nm_page=noc,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=4000&id_neuron_target=4000&color=blue&page=1&nm_page=prosyn,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=4080&id_neuron_target=4069&color=blue&page=1&nm_page=noc,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=5001&id_neuron_target=5005&color=blue&page=1&nm_page=prosyn,1,2,50.00%
/php/property_page_synpro_pvals.php?id_neuron_source=6003&id_neuron_target=6006&color=blue&page=1&nm_page=prosyn,1,4,25.00%
/php/property_page_synpro_pvals.php?id_neuron_source=6024&id_neuron_target=6095&color=blue&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro_pvals.php?id_neuron_source=6038&id_neuron_target=6040&color=blue&page=1&nm_page=prosyn,1,3,33.33%
/php/property_page_synpro_pvals.php?id_neuron_source=6095&id_neuron_target=6008&color=blue&page=1&nm_page=prosyn,1,1,100.00%
/php/property_page_synpro.php?id_neuron=1000&val_property=CA3_SL&color=red&page=1&sp_page=dal,1,7,14.29%
/php/property_page_synpro.php?id_neuron=1000&val_property=DG_H&color=red&page=1&sp_page=sd,1,2,50.00%
/php/property_page_synpro.php?id_neuron=1000&val_property=DG_SMo&color=blue&page=1&sp_page=sd,1,1,100.00%
/php/property_page_synpro.php?id_neuron=1001&val_property=DG_SG&color=red&page=1&sp_page=dal,1,2,50.00%
/php/property_page_synpro.php?id_neuron=1001&val_property=DG_SMo&color=blue&page=1&sp_page=dal,1,2,50.00%
/php/property_page_synpro.php?id_neuron=1035&val_property=DG_H&color=blue&page=1&sp_page=dal,1,1,100.00%
/php/property_page_synpro.php?id_neuron=2000&val_property=CA3_SL&color=blue&page=1&sp_page=dal,1,1,100.00%
/php/property_page_synpro.php?id_neuron=2000&val_property=CA3_SR&color=blue&page=1&sp_page=dal,1,1,100.00%
/php/property_page_synpro.php?id_neuron=2028&val_property=CA3_SLM&color=blue&page=1&sp_page=dal,1,1,100.00%
/php/property_page_synpro.php?id_neuron=4004&val_property=DG_SMo&color=red&page=1&sp_page=dal,1,1,100.00%
/php/property_page_synpro.php?id_neuron=4054&val_property=CA1_SO&color=red&page=1&sp_page=sd,1,1,100.00%
/php/property_page_synpro.php?id_neuron=4078&val_property=CA1_SP&color=blue&page=1&sp_page=dal,1,1,100.00%
/php/search.php?operator=OR&N=2,1,7,14.29%
/php/search.php?relation=is found in&N=1,1,22,4.55%
/php/search.php?value=CA3:SR&N=1,1,2,50.00%
/php/search.php?value=DG:H&N=1,1,8,12.50%
/php/search.php?value=DG&N=1,1,9,11.11%
/php/search.php?value=Hippocampal formation&N=1,1,3,33.33%
/php/synaptic_mod_sum.php?pre_id=1000&post_id=1009,1,2,50.00%
/php/synaptic_mod_sum.php?pre_id=1000&post_id=1010,1,1,100.00%
/php/synaptic_mod_sum.php?pre_id=1000&post_id=1035,1,5,20.00%
/php/synaptic_mod_sum.php?pre_id=1001&post_id=1002,1,1,100.00%
/php/synaptic_mod_sum.php?pre_id=1010&post_id=1043,1,1,100.00%
/php/synaptic_mod_sum.php?pre_id=2004&post_id=2043,1,2,50.00%
/php/synaptic_mod_sum.php?pre_id=2036&post_id=1043,1,2,50.00%
/php/synaptic_mod_sum.php?pre_id=2049&post_id=2028,1,2,50.00%
/php/synaptic_mod_sum.php?pre_id=4069&post_id=4078,1,2,50.00%
/php/synaptic_mod_sum.php?pre_id=4069&post_id=4079,1,1,100.00%
/php/synaptic_mod_sum.php?pre_id=6003&post_id=6096,1,4,25.00%
/php/view_fp_image.php?image=Armstrong-Soltesz-2011-1476-JCompNeurol-Fig3A-Cell1007-D.NASP.jpeg,1,1,100.00%
/php/view_fp_image.php?image=Bilkey-Schwartzkroin-1990-77-BrainRes-Fig1a-Cell2000-PSWB.jpeg,1,3,33.33%
/php/view_fp_image.php?image=Buckmaster-Schwartzkroin-1993-1281-JNeurophysiol-Fig8-Cell2004-TSWB.SLN.jpeg,1,1,100.00%
/php/view_fp_image.php?image=Buhl-Somogyi-1994-1289-JNeurophys-Fig5C-Cell1010-NASP.jpeg,1,1,100.00%
/php/view_fp_image.php?image=Canto-Witter-2012-1277-Hippocampus_MEC-Fig9C4-Cell6031-ASP.NASP.jpeg,1,1,100.00%
/php/view_fp_image.php?image=Canto-Witter-2012-1277-Hippocampus-Fig10C7-Cell6002-ASP.SLN.jpeg,1,1,100.00%
/php/view_fp_image.php?image=Chevaleyre-Siegelbaum-2010-560-Neuron-Fig1A-Cell2000-TSWB.SLN.jpeg,1,3,33.33%
/php/view_fp_image.php?image=Daw-McBain-2009-11112-JNeurosci-Fig1C-Cell4013-ASP..jpeg,1,1,100.00%
/php/view_fp_image.php?image=Fuentealba-Somogyi-2010-1595-JNeurosci-Fig5B-Cell4011-PSTUT.jpeg,1,5,20.00%
/php/view_fp_image.php?image=Gloveli-Buhl-2005-131-JPhysiol-Fig3Aii-Cell2020-PSTUT.jpeg,1,3,33.33%
/php/view_fp_image.php?image=Lubke-Spruston-1998-1518-v79-n3-JNeurophysiol-Fig6B-Cell1026-D.ASP..jpeg,1,3,33.33%
/php/view_fp_image.php?image=Mercer-Thomson-2012-1758-Hippocampus-Fig3A-Cell3008-TSTUT.SLN.jpeg,1,1,100.00%
/php/view_fp_image.php?image=Tricoire-McBain-2011-10948-JNeurosci-Fig7Ggrey-Cell4035-ASP..jpeg,1,1,100.00%
/phpdev/property_page_fp.php?id_neuron=1000&parameter=D.NASP&count=1&page=1,1,2,50.00%
/phprev/index.php,1,1,100.00%
/proxy_u/en-ru.ru.b22637e9-61e71c8c-c92fc5de-74722d776562/hippocampome.org/php/index.php,1,1,100.00%
/synapse_probabilities/php/property_page_connectivity.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1013&val2_property=DG_H&color2=blueSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,1,2,50.00%
/synapse_probabilities/php/property_page_markers.php?id_neuron=1000&val_property=PV&color=negative&page=markers,1,2,50.00%
/synapse_probabilities/php/property_page_morphology.php?id_neuron=1000&val_property=DG_H&color=red&page=1,1,6,16.67%
/synapse_probabilities/php/property_page_morphology.php?id_neuron=1000&val_property=DG_SMo&color=blue&page=1,1,23,4.35%
/synapse_probabilities/php/property_page_synpro_nm_old2.php?id_neuron_source=1000&id_neuron_target=1002&color=violetSoma&page=1&nm_page=ps,1,1,100.00%
/synapse_probabilities/php/property_page_synpro_nm.php?id_neuron_source=1000&id_neuron_target=1002&color=violetSoma&page=1,1,13,7.69%
/synapse_probabilities/php/property_page_synpro_nm.php?id_neuron_source=1000&id_neuron_target=1002&color=violetSoma&page=1&nm_page=noc,1,3,33.33%
/synapse_probabilities/php/property_page_synpro_nm.php?id_neuron_source=1006&id_neuron_target=6040&color=violetSoma&page=1,1,4,25.00%
/synapse_probabilities/php/property_page_synpro_nm.php?id1_neuron=1000&color1=red&id2_neuron=1002&color2=blueSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=ps,1,27,3.70%
/synapse_probabilities/php/property_page_synpro_nm.php?id1_neuron=1000&color1=red&id2_neuron=1002&color2=violetSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=noc,1,2,50.00%
/synapse_probabilities/php/property_page_synpro_nm.php?id1_neuron=1000&color1=red&id2_neuron=1041&color2=blueSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=ps,1,18,5.56%
/synapse_probabilities/php/property_page_synpro_nm.php?id1_neuron=1000&val1_property=DG_All&color1=red&id2_neuron=1002&val2_property=DG_All&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=noc,1,5,20.00%
/synapse_probabilities/php/property_page_synpro_nm.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1002&val2_property=DG_H&color2=violetSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=noc,1,17,5.88%
/synapse_probabilities/php/property_page_synpro_nm.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1002&val2_property=DG_H&color2=violetSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=prosyn,1,14,7.14%
/synapse_probabilities/php/property_page_synpro_nm.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1010&val2_property=DG_H&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=noc,1,1,100.00%
/synapse_probabilities/php/property_page_synpro_nm.php?id1_neuron=1000&val1_property=DG_H&color1=red&id2_neuron=1041&val2_property=DG_H&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=ps,1,12,8.33%
/synapse_probabilities/php/property_page_synpro_nm.php?id1_neuron=6094&val1_property=EC_III&color1=red&id2_neuron=6095&val2_property=EC_III&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=noc,1,1,100.00%
"/synapse_probabilities/php/property_page_synpro_nm.php?neuron_show_only_value=,,&start=0&stop=10&neuron_show_only=1",1,3,33.33%
/synapse_probabilities/php/property_page_synpro_pvals.php?id_neuron_source=1000&id_neuron_target=1002&color=blue&page=1&nm_page=ps,1,14,7.14%
/synapse_probabilities/php/property_page_synpro_pvals.php?id_neuron_source=1000&id_neuron_target=1010&color=blue&page=1&nm_page=noc,1,3,33.33%
