# ----------------------------------------
# All Web Site Data
# Exit Pages
# 20150101-20230701
# ----------------------------------------

Page,Exits,Pageviews,% Exit
/php/property_page_morphology.php?id_neuron=1000&val_property=CA3_SP&color=red&page=1,8,13,61.54%
/php/synaptic_mod_sum.php?pre_id=1000&post_id=1041,8,30,26.67%
/php_v2/property_page_synpro_nm.php,7,45,15.56%
/php/firing_patterns.php?show_only=14,7,15,46.67%
/php/property_page_connectivity.php?id1_neuron=2000&val1_property=CA3_SR&color1=violet&id2_neuron=2000&val2_property=CA3_SR&color2=violet&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,7,13,53.85%
/php/property_page_markers.php?id_neuron=1000&val_property=BDNF&color=positive&page=markers,7,27,25.93%
/php/property_page_morphology.php?id_neuron=1000&val_property=CA3_SL&color=red&page=1,7,23,30.43%
/php/property_page_morphology.php?id_neuron=2000&val_property=CA3_SR&color=violet&page=1,7,16,43.75%
/php/property_page_morphology.php?id_neuron=4000&val_property=CA1_SO&color=violet&page=1,7,27,25.93%
/php/property_page_morphology.php?id_neuron=4000&val_property=CA1_SR&color=somata&page=1,7,20,35.00%
/php/property_page_synpro_nm.php,7,24,29.17%
/php/property_page_synpro.php,7,39,17.95%
/php/search.php?searching=1,7,59,11.86%
/synapse_probabilities/php/property_page_synpro_nm.php?id1_neuron=1040&val1_property=DG_SMi&color1=red&id2_neuron=1004&val2_property=DG_SMi&color2=blue&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1&nm_page=noc,7,47,14.89%
/php_v2_dev/property_page_synpro_pvals.php?id_neuron_source=2020&id_neuron_target=3007&color=blue&page=1&nm_page=prosyn,6,14,42.86%
/php_v2/index_alt2.php,6,8,75.00%
/php/connectivity.php?refreshed=,6,9,66.67%
/php/index.php/.env,6,6,100.00%
/php/property_page_connectivity.php?id1_neuron=1013&val1_property=DG_SMo&color1=red&id2_neuron=1000&val2_property=DG_SMo&color2=blue&connection_type=1&known_conn_flag=1&axonic_basket_flag=0&page=1,6,11,54.55%
/php/property_page_connectivity.php?id1_neuron=2000&val1_property=CA1_SR&color1=red&id2_neuron=4000&val2_property=CA1_SR&color2=blueSoma&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,6,14,42.86%
/php/property_page_fp.php?id_neuron=1000&parameter=TSWB.SLN&count=2&page=1,6,24,25.00%
/php/property_page_fp.php?id_neuron=4000&parameter=ASP.&count=1&page=1,6,21,28.57%
/php/property_page_markers.php?id_neuron=1000&val_property=NG&color=positive&page=markers,6,14,42.86%
/php/property_page_markers.php?id_neuron=1035&val_property=PV&color=positive&page=markers,6,9,66.67%
/php/property_page_markers.php?id_neuron=4000&val_property=NG&color=positive&page=markers,6,10,60.00%
/php/property_page_markers.php?id_neuron=4000&val_property=vGlut1&color=positive&page=markers,6,8,75.00%
/php/property_page_phases.php?id_neuron=1000&val_property=theta,6,87,6.90%
/synapse_probabilities/php/synapse_probabilities_sypr.php,6,63,9.52%
/devur2/property_page_counts.php,5,16,31.25%
/devur2/property_page_phases.php?id_neuron=2000,5,34,14.71%
/devur3/property_page_phases.php?id_neuron=1035&val_property=swr_ratio,5,13,38.46%
/hippocampome/php_V2/morphology.php,5,9,55.56%
/php_v2/Help_usage_citations.php,5,33,15.15%
/php/property_page_connectivity.php?id1_neuron=1000&val1_property=CA3_SL&color1=red&id2_neuron=2000&val2_property=CA3_SL&color2=blue&connection_type=2&known_conn_flag=1&axonic_basket_flag=0&page=1,5,15,33.33%
