"source_id","target_id","subregion","parcel","volume_1","volume_2","selected_volume"
1004,1041,"DG","SMo",9518230000,9518230000,9518230000
1004,1043,"DG","H",3515910000,3515910000,3515910000
1004,1043,"DG","SMi",4759120000,4759120000,4759120000
1004,1043,"DG","SMo",9518230000,9518230000,9518230000
1005,1000,"DG","SMi",4759120000,4759120000,4759120000
1005,1000,"DG","SMo",9518230000,9518230000,9518230000
1005,1001,"DG","SMi",4759120000,4759120000,4759120000
1005,1001,"DG","SMo",9518230000,9518230000,9518230000
1005,1004,"DG","SMi",4759120000,4759120000,4759120000
1005,1004,"DG","SMo",9518230000,9518230000,9518230000
1005,1005,"DG","SMi",4759120000,4759120000,4759120000
1005,1005,"DG","SMo",9518230000,9518230000,9518230000
1005,1006,"DG","SMi",4759120000,4759120000,4759120000
1005,1006,"DG","SMo",9518230000,9518230000,9518230000
1005,1007,"DG","SMo",9518230000,9518230000,9518230000
1005,1008,"DG","SMo",9518230000,9518230000,9518230000
1005,1009,"DG","SMi",4759120000,4759120000,4759120000
1005,1009,"DG","SMo",9518230000,9518230000,9518230000
1005,1010,"DG","SMi",4759120000,4759120000,4759120000
1005,1010,"DG","SMo",9518230000,9518230000,9518230000
1005,1026,"DG","SMi",4759120000,4759120000,4759120000
1005,1027,"DG","SMi",4759120000,4759120000,4759120000
1005,1027,"DG","SMo",9518230000,9518230000,9518230000
1005,1035,"DG","SMi",4759120000,4759120000,4759120000
1005,1035,"DG","SMo",9518230000,9518230000,9518230000
1005,1036,"DG","SMi",4759120000,4759120000,4759120000
1005,1036,"DG","SMo",9518230000,9518230000,9518230000
1005,1040,"DG","SMi",4759120000,4759120000,4759120000
1005,1041,"DG","SMi",4759120000,4759120000,4759120000
1005,1041,"DG","SMo",9518230000,9518230000,9518230000
1005,1043,"DG","SMi",4759120000,4759120000,4759120000
1005,1043,"DG","SMo",9518230000,9518230000,9518230000
1006,1000,"DG","SMo",9518230000,9518230000,9518230000
1006,1001,"DG","SMo",9518230000,9518230000,9518230000
1006,1004,"DG","SMo",9518230000,9518230000,9518230000
1006,1005,"DG","SMo",9518230000,9518230000,9518230000
1006,1006,"DG","SMo",9518230000,9518230000,9518230000
1006,1007,"DG","SMo",9518230000,9518230000,9518230000
1006,1008,"DG","SMo",9518230000,9518230000,9518230000
1006,1009,"DG","SMo",9518230000,9518230000,9518230000
1006,1010,"DG","SMo",9518230000,9518230000,9518230000
1006,1027,"DG","SMo",9518230000,9518230000,9518230000
1006,1035,"DG","SMo",9518230000,9518230000,9518230000
1006,1036,"DG","SMo",9518230000,9518230000,9518230000
1006,1041,"DG","SMo",9518230000,9518230000,9518230000
1006,1043,"DG","SMo",9518230000,9518230000,9518230000
1007,1000,"DG","SMo",9518230000,9518230000,9518230000
1007,1001,"DG","SMo",9518230000,9518230000,9518230000
1007,1004,"DG","SMo",9518230000,9518230000,9518230000
1007,1005,"DG","SMo",9518230000,9518230000,9518230000
1007,1006,"DG","SMo",9518230000,9518230000,9518230000
1007,1007,"DG","SMo",9518230000,9518230000,9518230000
1007,1008,"DG","SMo",9518230000,9518230000,9518230000
1007,1009,"DG","SMo",9518230000,9518230000,9518230000
1007,1010,"DG","SMo",9518230000,9518230000,9518230000
1007,1027,"DG","SMo",9518230000,9518230000,9518230000
1007,1035,"DG","SMo",9518230000,9518230000,9518230000
1007,1036,"DG","SMo",9518230000,9518230000,9518230000
1007,1041,"DG","SMo",9518230000,9518230000,9518230000
1007,1043,"DG","SMo",9518230000,9518230000,9518230000
1008,1000,"DG","SMo",9518230000,9518230000,9518230000
1008,1001,"DG","SMo",9518230000,9518230000,9518230000
1008,1004,"DG","SMo",9518230000,9518230000,9518230000
1008,1005,"DG","SMo",9518230000,9518230000,9518230000
1008,1006,"DG","SMo",9518230000,9518230000,9518230000
1008,1007,"DG","SMo",9518230000,9518230000,9518230000
1008,1008,"DG","SMo",9518230000,9518230000,9518230000
1008,1009,"DG","SMo",9518230000,9518230000,9518230000
1008,1010,"DG","SMo",9518230000,9518230000,9518230000
1008,1027,"DG","SMo",9518230000,9518230000,9518230000
1008,1035,"DG","SMo",9518230000,9518230000,9518230000
1008,1036,"DG","SMo",9518230000,9518230000,9518230000
1008,1041,"DG","SMo",9518230000,9518230000,9518230000
1008,1043,"DG","SMo",9518230000,9518230000,9518230000
1009,1000,"DG","SMi",4759120000,4759120000,4759120000
1009,1001,"DG","SMi",4759120000,4759120000,4759120000
1009,1004,"DG","SMi",4759120000,4759120000,4759120000
1009,1005,"DG","SMi",4759120000,4759120000,4759120000
1009,1006,"DG","SMi",4759120000,4759120000,4759120000
1009,1009,"DG","SMi",4759120000,4759120000,4759120000
1009,1010,"DG","SMi",4759120000,4759120000,4759120000
1009,1026,"DG","SMi",4759120000,4759120000,4759120000
1009,1027,"DG","SMi",4759120000,4759120000,4759120000
1009,1035,"DG","SMi",4759120000,4759120000,4759120000
1009,1036,"DG","SMi",4759120000,4759120000,4759120000
1009,1040,"DG","SMi",4759120000,4759120000,4759120000
1009,1041,"DG","SMi",4759120000,4759120000,4759120000
1009,1043,"DG","SMi",4759120000,4759120000,4759120000
1013,1000,"DG","SMo",9518230000,9518230000,9518230000
1013,1001,"DG","SMo",9518230000,9518230000,9518230000
1013,1004,"DG","SMo",9518230000,9518230000,9518230000
1013,1005,"DG","SMo",9518230000,9518230000,9518230000
1013,1006,"DG","SMo",9518230000,9518230000,9518230000
1013,1007,"DG","SMo",9518230000,9518230000,9518230000
1013,1008,"DG","SMo",9518230000,9518230000,9518230000
1013,1009,"DG","SMo",9518230000,9518230000,9518230000
1013,1010,"DG","SMo",9518230000,9518230000,9518230000
1013,1027,"DG","SMo",9518230000,9518230000,9518230000
1013,1035,"DG","SMo",9518230000,9518230000,9518230000
1013,1036,"DG","SMo",9518230000,9518230000,9518230000
1013,1041,"DG","SMo",9518230000,9518230000,9518230000
1013,1043,"DG","SMo",9518230000,9518230000,9518230000
1026,1000,"DG","SMi",4759120000,4759120000,4759120000
1026,1000,"DG","SMo",9518230000,9518230000,9518230000
1026,1001,"DG","SMi",4759120000,4759120000,4759120000
1026,1001,"DG","SMo",9518230000,9518230000,9518230000
1026,1002,"DG","H",3515910000,3515910000,3515910000
1026,1004,"DG","H",3515910000,3515910000,3515910000
1026,1004,"DG","SMi",4759120000,4759120000,4759120000
1026,1004,"DG","SMo",9518230000,9518230000,9518230000
1026,1005,"DG","H",3515910000,3515910000,3515910000
1026,1005,"DG","SMi",4759120000,4759120000,4759120000
1026,1005,"DG","SMo",9518230000,9518230000,9518230000
1026,1006,"DG","H",3515910000,3515910000,3515910000
1026,1006,"DG","SG",3174600000,3174600000,3174600000
1026,1006,"DG","SMi",4759120000,4759120000,4759120000
1026,1006,"DG","SMo",9518230000,9518230000,9518230000
1026,1007,"DG","SMo",9518230000,9518230000,9518230000
1026,1008,"DG","SMo",9518230000,9518230000,9518230000
1026,1009,"DG","H",3515910000,3515910000,3515910000
1026,1009,"DG","SG",3174600000,3174600000,3174600000
1026,1009,"DG","SMi",4759120000,4759120000,4759120000
1026,1009,"DG","SMo",9518230000,9518230000,9518230000
1026,1010,"DG","H",3515910000,3515910000,3515910000
1026,1010,"DG","SG",3174600000,3174600000,3174600000
1026,1010,"DG","SMi",4759120000,4759120000,4759120000
1026,1010,"DG","SMo",9518230000,9518230000,9518230000
1026,1013,"DG","H",3515910000,3515910000,3515910000
1026,1026,"DG","H",3515910000,3515910000,3515910000
1026,1026,"DG","SG",3174600000,3174600000,3174600000
1026,1026,"DG","SMi",4759120000,4759120000,4759120000
1026,1027,"DG","H",3515910000,3515910000,3515910000
1026,1027,"DG","SG",3174600000,3174600000,3174600000
1026,1027,"DG","SMi",4759120000,4759120000,4759120000
1026,1027,"DG","SMo",9518230000,9518230000,9518230000
1026,1035,"DG","H",3515910000,3515910000,3515910000
1026,1035,"DG","SG",3174600000,3174600000,3174600000
1026,1035,"DG","SMi",4759120000,4759120000,4759120000
1026,1035,"DG","SMo",9518230000,9518230000,9518230000
1026,1036,"DG","H",3515910000,3515910000,3515910000
1026,1036,"DG","SG",3174600000,3174600000,3174600000
1026,1036,"DG","SMi",4759120000,4759120000,4759120000
1026,1036,"DG","SMo",9518230000,9518230000,9518230000
1026,1040,"DG","SG",3174600000,3174600000,3174600000
1026,1040,"DG","SMi",4759120000,4759120000,4759120000
1026,1041,"DG","H",3515910000,3515910000,3515910000
1026,1041,"DG","SMi",4759120000,4759120000,4759120000
1026,1041,"DG","SMo",9518230000,9518230000,9518230000
1026,1043,"DG","H",3515910000,3515910000,3515910000
1026,1043,"DG","SG",3174600000,3174600000,3174600000
1026,1043,"DG","SMi",4759120000,4759120000,4759120000
1026,1043,"DG","SMo",9518230000,9518230000,9518230000
1027,1000,"DG","SMi",4759120000,4759120000,4759120000
1027,1001,"DG","SMi",4759120000,4759120000,4759120000
1027,1002,"DG","H",3515910000,3515910000,3515910000
1027,1004,"DG","H",3515910000,3515910000,3515910000
1027,1004,"DG","SMi",4759120000,4759120000,4759120000
1027,1005,"DG","H",3515910000,3515910000,3515910000
1027,1005,"DG","SMi",4759120000,4759120000,4759120000
1027,1006,"DG","H",3515910000,3515910000,3515910000
1027,1006,"DG","SG",3174600000,3174600000,3174600000
1027,1006,"DG","SMi",4759120000,4759120000,4759120000
1027,1009,"DG","H",3515910000,3515910000,3515910000
1027,1009,"DG","SG",3174600000,3174600000,3174600000
1027,1009,"DG","SMi",4759120000,4759120000,4759120000
1027,1010,"DG","H",3515910000,3515910000,3515910000
1027,1010,"DG","SG",3174600000,3174600000,3174600000
1027,1010,"DG","SMi",4759120000,4759120000,4759120000
1027,1013,"DG","H",3515910000,3515910000,3515910000
1027,1026,"DG","H",3515910000,3515910000,3515910000
1027,1026,"DG","SG",3174600000,3174600000,3174600000
1027,1026,"DG","SMi",4759120000,4759120000,4759120000
1027,1027,"DG","H",3515910000,3515910000,3515910000
1027,1027,"DG","SG",3174600000,3174600000,3174600000
1027,1027,"DG","SMi",4759120000,4759120000,4759120000
1027,1035,"DG","H",3515910000,3515910000,3515910000
1027,1035,"DG","SG",3174600000,3174600000,3174600000
1027,1035,"DG","SMi",4759120000,4759120000,4759120000
1027,1036,"DG","H",3515910000,3515910000,3515910000
1027,1036,"DG","SG",3174600000,3174600000,3174600000
1027,1036,"DG","SMi",4759120000,4759120000,4759120000
1027,1040,"DG","SG",3174600000,3174600000,3174600000
1027,1040,"DG","SMi",4759120000,4759120000,4759120000
1027,1041,"DG","H",3515910000,3515910000,3515910000
1027,1041,"DG","SMi",4759120000,4759120000,4759120000
1027,1043,"DG","H",3515910000,3515910000,3515910000
1027,1043,"DG","SG",3174600000,3174600000,3174600000
1027,1043,"DG","SMi",4759120000,4759120000,4759120000
1040,1000,"DG","SMi",4759120000,4759120000,4759120000
1040,1001,"DG","SMi",4759120000,4759120000,4759120000
1040,1002,"DG","H",3515910000,3515910000,3515910000
1040,1004,"DG","H",3515910000,3515910000,3515910000
1040,1004,"DG","SMi",4759120000,4759120000,4759120000
1040,1005,"DG","H",3515910000,3515910000,3515910000
1040,1005,"DG","SMi",4759120000,4759120000,4759120000
1040,1006,"DG","H",3515910000,3515910000,3515910000
1040,1006,"DG","SG",3174600000,3174600000,3174600000
1040,1006,"DG","SMi",4759120000,4759120000,4759120000
1040,1009,"DG","H",3515910000,3515910000,3515910000
1040,1009,"DG","SG",3174600000,3174600000,3174600000
1040,1009,"DG","SMi",4759120000,4759120000,4759120000
1040,1010,"DG","H",3515910000,3515910000,3515910000
1040,1010,"DG","SG",3174600000,3174600000,3174600000
1040,1010,"DG","SMi",4759120000,4759120000,4759120000
1040,1013,"DG","H",3515910000,3515910000,3515910000
1040,1026,"DG","H",3515910000,3515910000,3515910000
1040,1026,"DG","SG",3174600000,3174600000,3174600000
1040,1026,"DG","SMi",4759120000,4759120000,4759120000
1040,1027,"DG","H",3515910000,3515910000,3515910000
1040,1027,"DG","SG",3174600000,3174600000,3174600000
1040,1027,"DG","SMi",4759120000,4759120000,4759120000
1040,1035,"DG","H",3515910000,3515910000,3515910000
1040,1035,"DG","SG",3174600000,3174600000,3174600000
1040,1035,"DG","SMi",4759120000,4759120000,4759120000
1040,1036,"DG","H",3515910000,3515910000,3515910000
1040,1036,"DG","SG",3174600000,3174600000,3174600000
1040,1036,"DG","SMi",4759120000,4759120000,4759120000
1040,1040,"DG","SG",3174600000,3174600000,3174600000
1040,1040,"DG","SMi",4759120000,4759120000,4759120000
1040,1041,"DG","H",3515910000,3515910000,3515910000
1040,1041,"DG","SMi",4759120000,4759120000,4759120000
1040,1043,"DG","H",3515910000,3515910000,3515910000
1040,1043,"DG","SG",3174600000,3174600000,3174600000
1040,1043,"DG","SMi",4759120000,4759120000,4759120000
1041,1002,"DG","H",3515910000,3515910000,3515910000
1041,1004,"DG","H",3515910000,3515910000,3515910000
1041,1005,"DG","H",3515910000,3515910000,3515910000
1041,1006,"DG","H",3515910000,3515910000,3515910000
1041,1009,"DG","H",3515910000,3515910000,3515910000
1041,1010,"DG","H",3515910000,3515910000,3515910000
1041,1013,"DG","H",3515910000,3515910000,3515910000
1041,1026,"DG","H",3515910000,3515910000,3515910000
1041,1027,"DG","H",3515910000,3515910000,3515910000
1041,1035,"DG","H",3515910000,3515910000,3515910000
1041,1036,"DG","H",3515910000,3515910000,3515910000
1041,1041,"DG","H",3515910000,3515910000,3515910000
1041,1043,"DG","H",3515910000,3515910000,3515910000
1043,1000,"DG","SMi",4759120000,4759120000,4759120000
1043,1001,"DG","SMi",4759120000,4759120000,4759120000
1043,1002,"DG","H",3515910000,3515910000,3515910000
1043,1004,"DG","H",3515910000,3515910000,3515910000
1043,1004,"DG","SMi",4759120000,4759120000,4759120000
1043,1005,"DG","H",3515910000,3515910000,3515910000
1043,1005,"DG","SMi",4759120000,4759120000,4759120000
1043,1006,"DG","H",3515910000,3515910000,3515910000
1043,1006,"DG","SMi",4759120000,4759120000,4759120000
1043,1009,"DG","H",3515910000,3515910000,3515910000
1043,1009,"DG","SMi",4759120000,4759120000,4759120000
1043,1010,"DG","H",3515910000,3515910000,3515910000
1043,1010,"DG","SMi",4759120000,4759120000,4759120000
1043,1013,"DG","H",3515910000,3515910000,3515910000
1043,1026,"DG","H",3515910000,3515910000,3515910000
1043,1026,"DG","SMi",4759120000,4759120000,4759120000
1043,1027,"DG","H",3515910000,3515910000,3515910000
1043,1027,"DG","SMi",4759120000,4759120000,4759120000
1043,1035,"DG","H",3515910000,3515910000,3515910000
1043,1035,"DG","SMi",4759120000,4759120000,4759120000
1043,1036,"DG","H",3515910000,3515910000,3515910000
1043,1036,"DG","SMi",4759120000,4759120000,4759120000
1043,1040,"DG","SMi",4759120000,4759120000,4759120000
1043,1041,"DG","H",3515910000,3515910000,3515910000
1043,1041,"DG","SMi",4759120000,4759120000,4759120000
1043,1043,"DG","H",3515910000,3515910000,3515910000
1043,1043,"DG","SMi",4759120000,4759120000,4759120000
2000,2000,"CA3","SO",7025690000,7025690000,7025690000
2000,2000,"CA3","SR",8229350000,8229350000,8229350000
2000,2001,"CA3","SR",8229350000,8229350000,8229350000
2000,2004,"CA3","SO",7025690000,7025690000,7025690000
